state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Ladakh,Kargil,Child Feeding Practices and Nutritional Status of Children,67,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",14.8,18.5,False,False
Ladakh,Kargil,Child Feeding Practices and Nutritional Status of Children,68,Children under 5 years who are stunted (height-for-age)12 (%),27.1,36.5,False,False
Ladakh,Kargil,Child Feeding Practices and Nutritional Status of Children,69,Children under 5 years who are wasted (weight-for-height)12 (%),11.3,17.7,False,False
Ladakh,Kargil,Child Feeding Practices and Nutritional Status of Children,70,Children under 5 years who are severely wasted (weight-for-height)13 (%),5.6,10.5,False,False
Ladakh,Kargil,Child Feeding Practices and Nutritional Status of Children,71,Children under 5 years who are underweight (weight-for-age)12 (%),15.1,21.8,False,False
Ladakh,Kargil,Child Feeding Practices and Nutritional Status of Children,72,Children under 5 years who are overweight (weight-for-height)14 (%),6.2,14.0,False,False
Ladakh,Kargil,Nutritional Status of Adults (age 15-49 years),73,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)15 (%),6.3,3.5,False,False
Ladakh,Kargil,Nutritional Status of Adults (age 15-49 years),74,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),17.4,26.3,False,False
Ladakh,Kargil,Women,75,Blood sugar level - high (141-160 mg/dl)16 (%),3.8,3.2,False,False
Ladakh,Kargil,Women,76,Blood sugar level - very high (>160 mg/dl)16 (%),1.6,2.8,False,False
Ladakh,Kargil,Women,77,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),5.5,7.3,False,False
Ladakh,Kargil,Men,78,Blood sugar level - high (141-160 mg/dl)16 (%),4.9,4.6,False,False
Ladakh,Kargil,Men,79,Blood sugar level - very high (>160 mg/dl)16 (%),2.6,3.4,False,False
Ladakh,Kargil,Men,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),7.9,10.2,False,False
Ladakh,Kargil,Women,81,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),7.8,11.8,False,False
Ladakh,Kargil,Women,82,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm,2.8,2.7,False,False
Ladakh,Kargil,Women,83,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to,13.5,18.7,False,False
Ladakh,Kargil,Men,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.2,13.2,False,False
Ladakh,Kargil,Men,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm,2.4,3.8,False,False
